year,country,doc_number
2024,JP,WO2024019146
2024,JP,WO2024019080
2024,JP,WO2024014489
2024,JP,WO2024014560
2024,JP,WO2024013918
2024,JP,WO2024009141
2024,JP,WO2024009976
2024,JP,WO2024009730
2024,JP,WO2024005208
2024,JP,WO2024005131
2024,JP,WO2024018964
2024,JP,WO2024004528
2024,JP,WO2024009729
2024,JP,WO2024004527
2024,JP,WO2024013950
2024,JP,WO2024004747
2024,JP,WO2024013805
2024,JP,WO2024018322
2024,JP,WO2024010050
2024,JP,WO2024004923
2024,JP,WO2024004064
2024,JP,WO2024004009
2024,IL,306085
2024,IL,308425
2024,PH,22024050004
2024,PH,22024050002
2024,PH,22023550015
2024,PH,22023051632
2024,PH,22023051539
2024,PH,22023051437
2024,PH,22023050051
2024,PH,22022051363
2024,PH,22022051176
2024,PH,22022050599
2024,PH,22022050197
2024,PH,22022050148
2024,PH,22022050091
2024,PH,22020050921
2024,JP,WO2024004371
2024,JP,WO2024013807
2024,JP,WO2024010019
2024,PH,22023051271
2024,PH,22023051218
2024,PH,22023051216
2024,PH,22023051153
2024,PH,22023050409
2024,PH,22023050272
2024,PH,22023050083
2024,PH,22022051231
2024,PH,22022050617
2024,PH,22022050267
2024,PH,22022050108
2024,PH,22021050879
2024,PH,22021050735
2024,PH,22020050694
2024,IN,202241040931
2024,IN,202221038828
2024,JP,WO2024019166
2024,JP,WO2024019167
2024,JP,WO2024019165
2024,JP,WO2024019145
2024,JP,WO2024019163
2024,JP,WO2024019143
2024,JP,WO2024018796
2024,JP,WO2024018801
2024,JP,WO2024018798
2024,JP,WO2024018313
2024,JP,WO2024018317
2024,JP,WO2024019141
2024,JP,WO2024019054
2024,JP,WO2024019077
2024,JP,WO2024019180
2024,JP,WO2024018248
2024,JP,WO2024019179
2024,JP,WO2024018247
2024,JP,WO2024019173
2024,JP,WO2024019004
2024,JP,WO2024019049
2024,JP,WO2024018626
2024,JP,WO2024019133
2024,JP,WO2024019020
2024,JP,WO2024018936
2024,JP,WO2024019137
2024,JP,WO2024018615
2024,JP,WO2024019090
2024,JP,WO2024019084
