Neon Lamp,Georges Claude,1915,,,
Oxygen,Joseph Priestley,1774,,,
Ozone,Christian Schonbein,1839,,,
Piano,Bartolomeo Cristofori,1700,,,
Printing Press,Johannes Gutenberg,1440,,,
Parachute,Louis-Sebastien Lenormand,1783,,,
Polio Vaccine,Jonas Edward Salk,–,,,
Periodic Table,Dmitri Mendeleev,1869,,,
Penicillin,Alexander Fleming,1928,,,
Pacemaker,Rune Elmqvist,1952,,,
Petrol for Motor Car,Karl Benz,1885,,,
Refrigerator,William Cullen,1748,,,
Radium,Marie & Pierre Curie,1898,,,
Rubber (vulcanized),Charles Goodyear,1841,,,
Rocket Engine,Robert H. Goddard,1926,,,
Radio,Guglielmo Marconi,1894,,,
Richter Scale,Charles Richter,1935,,,
Ship (Turbine),Charles Parsons,1894,,,
Steam Ship,Robert Fulton,1807,,,
Steam Boat,Robert Fulton,1786,,,
Submarine,Cornelis Drebbel,1620,,,
Stethoscope,Rene Laennec,1816,,,
Saxophone,Adolphe Sax,1846,,,
Sewing Machine,Elias Howe,1846,,,
Steam-Powered Airship,Henri Giffard,1852,,,
Soft Contact lenses,Otto Wichterle,1961,,,
Synthesizer,Dr. Robert Arthur Moog,1964,,,
Thermometer,Galileo,1593,,,
Theory of Evolution,Charles Darwin,1858,,,
Typewriter,Christopher Latham Sholes,—,,,
Transistors,"John Bardeen, William Shockley & Walter Brattain",1948,,,
Telephone,Graham Bell,1874,,,
Valve. Radio,Sir J.A Fleming,1904,,,
Vacuum Cleaner,Hubert Cecil Booth,1901,,,
Vitamin A,Frederick Gowland Hpokins,1912,,,
Vitamin B,Christiaan Eijkman,1897,,,
Vitamin C,Albert Szent-Gyorgi,–,,,
Vitamin K,Henrik Dam,1929,,,
Vitamin E,Herbert McLean Evans & Katherine Scott Bishop, ,,,
Windshield wipers,Mary Anderson,1903,,,
World Wide Web,Tim Berners Lee with Robert Cailliau ,1989,,,
X-ray,Wilhelm Conrad Roentgen,1895,,,
Xerox Machine,Chester Carlson,1928,,,
Invention,Inventor(s),Date,,,
AdhesiveTape,RichardDrew,1930,,,
Airplane,Orville&WilburWright,1930,,,
AlcoholThermometer,GabrielFahrenheit,1709,,,
AstroTurf,J.Faria&R.Wright,1965,,,
BallpointPen ,LaszloBiro,1938,,,
Barometer(mercury),EvangelistaTorricelli,1643,,,
Battery(electric),AlessandroVolta,1800,,,
Bicycle,KarlvonSauerbronn,1816,,,
BifocalSpectacles,BenjaminFranklin,1784,,,
Bikini,JacquesHeim/LouisReard,1946,,,
Camera,GeorgeEastman,1888,,,
CanOpener,EzraWarner,1858,,,
CarbonatedWater,JosephPriestly,1767,,,
CelsiusScale,AndersCelsius,1742,,,
Coca-Cola,Dr.JohnPemberton,1886,,,
CompactDisk,JamesRussell,1965,,,
CottonGin,EliWhitney,1793,,,
CylinderLock,LinusYaleJr.,1862,,,
Decimals,SimonStevin,1585,,,
Dishwasher,JosephineG.Cochran,1886,,,
Dynamite,AlfredNobel   ,1866,,,
ElectricLightBulb,ThomasEdison,1878,,,
ElectricShaver,JacobSchick,1928,,,
Elevator,ElishaOtis,1853/td>,,,
FerrisWheel,G.W.G.FerrisJr.,1893,,,
FrozenFood,ClarenceBirdseye,1925,,,
FountainPen,LewisE.Waterman,1884,,,
GeigerCounter,HansGeiger,1913,,,
Guillotine,Dr.JosephI.Guillotin,1792,,,
Helicopter,IgorSikorsky,1939,,,
Holography,D.Gabor,1965,,,
HotAirBalloon,MontgolfierBrothers,1783,,,
Hovercraft,ChristopherCockerell,1955,,,
Iron(electric),HenryW.Seeley,1882,,,
Jeans,LeviStrauss,1873,,,
JetEngine,FrankWhittle,1930,,,
Kaleidoscope,DavidBrewster,1817,,,
KelvinScale,LordW.T.Kelvin,1848,,,
Laser(ruby),TheodoreMaiman,1960,,,
LightningConductor,BenjaminFranklin,1752,,,
Linoleum,FrederickWalton,1861,,,
Lithography,AloisSenfelder,1796,,,
MachineGun,RichardGattling,1862,,,
Mayonnaise,DukedeRichelieu'schef,1756,,,
Microscope,AnthonyvanLeeuwenhoek,1677,,,
Miners'SafetyLamp,SirHumphryDavy,1815,,,
MovableType,JohannGuttenberg,1453,,,
Nylon,WallaceCarothers,1935,,,
OpticalDisc,DavidPaulGregg,1958,,,
Parachute,Louis-SebastianLenormand,1783,,,
PendulumClock,ChristianHuygens,1656,,,
Phonograph,ThomasEdison,1877,,,
PhosphorusMatches,JohnWalker,1827,,,
PneumaticTyre,JohnDunlop,1888,,,
PressureCooker,DenisPapin,1675,,,
Q-Tips,LeoGerstenzang,1920's,,,
Radio,GuglielmoMarconi,1895,,,
Refrigerator,FerdinandCarre,1859,,,
Revolver,SamuelColt,1836,,,
Rifle,AugustKotter,1520,,,
RocketEngine,RobertGoddard,1926,,,
RollerSkates,JosephMerlin,1760,,,
SafetyPin,WalterHunt,1895,,,
SafetyRazor,KingGillette,1859,,,
SewingMachine(lockstitch),EliasHowe,1846,,,
Sextant,JohnCampbell,1757,,,
SleepingCar,GeorgePullman,1857,,,
SmallpoxVaccination,EdwardJenner,1796,,,
Steamboat,RobertFulton,1807,,,
SteamEngine,ThomasSavery,1698,,,
Submarine,TJohnHolland,1898,,,
TeaBag,ThomasSullivan,1908,,,
Teflon,SamuelMorse,1837,,,
Telegraph,EliasHowe,1846,,,
Telegraph,GuglielmoMarconi,1895,,,
Telephone,AlexanderGrahamBell,1876,,,
Telescope,GalileoGalilei,1609,,,
Television,JohnLogieBaird,1925,,,
Umbrella(steelribbed),SamuelFox,1852,,,
VacuumCleaner,H.CecilBooth,1901,,,
VulcanisedRubber,CharlesGoodyear,1839,,,
WashingMachine(rotary),HamiltonSmith,1858,,,
Xerography,ChesterFloydCarlson,1937,,,
YellowPages,ReubenH.Donnelly,1886,,,
ZipFastener,WhitcombJudson,1893,,,
stone tools,Homo habilis,c. 2 million years ago,,,
step pyramid,Imhotep,27th century BCE,Egyptian,,
Archimedes screw,Archimedes,3rd century BCE,Greek,,
float-type clepsydra (water clock),Ctesibius of Alexandria,3rd century BCE,Greek,,
aeolipile (steam-powered turbine),Heron of Alexandria,1st century CE,Greek,,
paper,Cai Lun,2nd century CE,Chinese,,
printing press,Johannes Gutenberg,c. 1450,German,,
knitting machine,William Lee,1589,English,,
compound microscope; telescope,Hans Lippershey,c. 1590; 1608,German-Dutch,,
oar-powered submarine,Cornelis Drebbel,1620,Dutch,,
mercury barometer,Evangelista Torricelli,1643,Italian,,
air pump,Otto von Guericke,1650,Prussian,,
pendulum clock,Christiaan Huygens,1658,Dutch,,
lens-grinding lathe,Giuseppe Campani,1664,Italian,,
single-lens microscope,Antonie van Leeuwenhoek,c. 1670,Dutch,,
pressure cooker,Denis Papin,1679,French-English,,
repeating watch mechanism for sounding the nearest hour and quarter hour,Daniel Quare,1680,English,,
steam-driven vacuum pump,Thomas Savery,1698,English,,
mechanical seed drill,Jethro Tull,1701,English,,
used coke to smelt iron,Abraham Darby,1709,English,,
atmospheric steam engine,Thomas Newcomen,1712,English,,
quadrant for determining latitude,John Hadley,1730,English,,
quadrant for determining latitude,Thomas Godfrey,1730,American,,
pitot tube,Henri Pitot,1732,French,,
flying shuttle,John Kay,1733,English,,
marine chronometer,John Harrison,1735,English,,
Franklin stove,Benjamin Franklin,c. 1740,American,,
crucible steel,Benjamin Huntsman,c. 1740,English,,
Sheffield plate,Thomas Boulsover,c. 1742,English,,
automated loom,Jacques de Vaucanson,1745,French,,
water frame (spinning machine),Sir Richard Arkwright,1764,English,,
improved steam engine with separate condenser,James Watt,1765,Scottish,,
steam-driven gun carriage,Nicolas-Joseph Cugnot,1769,French,,
hand-powered submarine,David Bushnell,c. 1775,American,,
breech-loading flintlock rifle,Patrick Ferguson,1776,Scottish,,
spinning mule,Samuel Crompton,1779,English,,
reciprocating compound steam engine,Jonathan Hornblower,1781,English,,
Sun-and-planet motion for steam engines,William Murdock,c. 1781,Scottish,,
hot-air balloon,Montgolfier brothers,1782,French,,
,,,,,
pyrometer,Josiah Wedgwood,1782,English,,
early paddlewheel steamboat,"Claude-François-Dorothée, marquis de Jouffroy d'Abbans",1783,French,,
early steamboat,John Fitch,1787,American,,
threshing machine,Andrew Meikle,1788,Scottish,,
wool-combing machine,Edmund Cartwright,1789,English,,
high-pressure steam engine (U.S.),Oliver Evans,1790,American,,
hydrometer,William Nicholson,1790,English,,
semaphore telegraph,Claude Chappe,1794,French,,
cotton gin,Eli Whitney,1794,American,,
hydraulic press,Joseph Bramah,1795,English,,
graphite pencil,Nicolas-Jacques Conté,1795,French,,
lithography,Alois Senefelder,1798,German,,
metal lathe,Henry Maudslay,c. 1800,English,,
electric battery,Alessandro Volta,1800,Italian,,
screw-driven steamboat,John Stevens,1802,American,,
steam railway locomotive,Richard Trevithick,1803,English,,
Jacquard loom,Joseph-Marie Jacquard,1804–05,French,,
military rocket,William Congreve,1805,English,,
percussion-lock musket,Alexander John Forsyth,1805–07,Scottish,,
commercial steamboat,Robert Fulton,1807,American,,
lace-making machine,John Heathcoat,1809,English,,
geared steam locomotive,John Blenkinsop,1812–13,English,,
macadam road surface,John Loudon McAdam,1815,Scottish,,
Stirling external-combustion engine,Robert Stirling,1816,Scottish,,
geared steam tunneling shield,Marc Isambard Brunel,1818,French-English,,
stethoscope,René-Théophile-Hyacinthe Laënnec,1819,French,,
rubber masticator,Thomas Hancock,1821,English,,
mackintosh waterproof fabric,Charles Macintosh,1823,Scottish,,
Braille writing system,Louis Braille,1824,French,,
automatic spinning mule,Richard Roberts,1825,Welsh,,
passenger train pulled by steam locomotive,George Stephenson,1825,English,,
permanent photographic image,Nicéphore Niépce,1826–27,French,,
needle-firing rifle,Nikolaus von Dreyse,1827,German,,
water turbine,Benoît Fourneyron,1827,French,,
steam carriage,Goldsworthy Gurney,1830,English,,
Tom Thumb steam locomotive,Peter Cooper,1830,American,,
cylindrical bullet,Henri-Gustave Delvigne,c. 1830,French,,
mechanical reaper,Cyrus Hall McCormick,1831,American,,
glass aquarium,Jeanne Villepreux-Power,1832,French,,
mechanical reaper,Obed Hussey,1833,American,,
electric motor,Thomas Davenport,1834,American,,
Analytical Engine mechanical computer,Charles Babbage,c. 1835,English,,
revolver,Samuel Colt,1835,American,,
postage stamp,Rowland Hill,1835–40,English,,
Daniell cell battery,John Frederic Daniell,1836,English,,
electromagnetic telegraph repeater,Edward Davy,c. 1836,English,,
Great Western transatlantic steamer,Isambard Kingdom Brunel,1837,English,,
Pitman shorthand,Isaac Pitman,1837,English,,
electric needle telegraph,Charles Wheatstone,1837,English,,
electric telegraph; Morse code,Samuel F.B. Morse,1837; 1838,American,,
all-steel one-piece plow,John Deere,1838,American,,
one-day brass clock movement,Chauncey Jerome,c. 1838,American,,
babbitt metal,Isaac Babbitt,1839,American,,
daguerreotype,Louis-Jacques-Mandé Daguerre,1839,French,,
vulcanized rubber,Charles Goodyear,1839,American,,
gear-making machine,Johann Georg Bodmer,1839–41,Swiss,,
Howe truss for bridges,William Howe,1840,American,,
saxophone,Antoine-Joseph Sax,1842,Belgian-French,,
prismatic gunpowder,Thomas Jackson Rodman,c. 1845,American,,
sewing machine,Elias Howe,1846,American,,
rotary printing press,Richard March Hoe,1847,American,,
cylindrical Minié bullet,Claude-Étienne Minié,1849,French,,
pneumatic steel-making process,William Kelly,c. 1850,American,,
wet collodion photography process,Frederick Scott Archer,1851,English,,
soda papermaking process,Hugh Burgess,1851,English American,,
domestic sewing machine,Isaac Merrit Singer,1851,American,,
safety elevator,Elisha Graves Otis,1852,American,,
first glider to carry a human,George Cayley,1853,English,,
Bessemer steelmaking process,Henry Bessemer,1856,English,,
internal-combustion engine,Étienne Lenoir,1858,Belgian,,
electric storage battery,Gaston Planté,1859,French,,
Spencer breech-loading carbine,Christopher M. Spencer,1860,American,,
ski bindings,Sondre Nordheim,1860,Norwegian,,
Parrott gun (rifled cannon),Robert Parker Parrott,1861,American,,
open-hearth furnace,William Siemens,1861,German English,,
astronomical photography,Warren De la Rue,c. 1862,English,,
Gatling gun,Richard Jordan Gatling,1862,American,,
pasteurization,Louis Pasteur,1863,French,,
Yale cylinder lock,Linus Yale,1863,American,,
gasoline-powered automobile,Siegfried Marcus,1864–65,German,,
silk-combing machine,Samuel Cunliffe Lister,1865,English,,
Pullman sleeping car,George M. Pullman,1865,American,,
modern clinical thermometer,Thomas Clifford Allbutt,1866,English,,
dry-cell battery,Georges Leclanché,c. 1866,French,,
pneumatic tube,Alfred Ely Beach,1867,American,,
reinforced concrete,Joseph Monier,c. 1867,French,,
dynamite,Alfred Bernhard Nobel,1867,Swedish,,
typewriter,Christopher Latham Sholes,1868,American,,
trichrome process of colour photography,Louis Ducos du Hauron,1869,French,,
air brake,George Westinghouse,1869,American,,
celluloid,John Wesley Hyatt,1870,American,,
flat-bottomed paper bag,Margaret Knight,1871,American,,
bicycle with centre-pivot steering,James Starley,1871,English,,
barbed wire,Joseph Farwell Glidden,1873,American,,
telephone,Alexander Graham Bell,1876,Scottish American,,
telephone,Elisha Gray,1876,American,,
carpet sweeper,Melville Reuben Bissell,1876,American,,
four-stroke internal-combustion engine,Nikolaus August Otto,1876,German,,
Yablochkov candle (arc lamp),Pavel Nikolayevich Yablochkov,1876,Russian,,
universal grinding machine,Joseph Rogers Brown,1877,American,,
geared steam locomotive,Ephraim Shay,c. 1877,American,,
phonograph cylinder sound recorder; incandescent lightbulb,Thomas Alva Edison,1877; c. 1879,American,,
life raft,Maria Beasley,1880,English,,
alternating-current electric motor,Nikola Tesla,1880–88,Serbian American,,
rayon,Hilaire Bernigaud de Chardonnet,1884,French,,
Maxim machine gun,Hiram Maxim,1884,American British,,
Linotype typesetting machine,Ottmar Mergenthaler,1884,German American,,
multistage steam turbine,Charles Algernon Parsons,1884,English,,
practical automobile with an internal-combustion engine,Karl Friedrich Benz,1885,German,,
high-speed internal-combustion engine,Gottlieb Daimler,1885,German,,
mechanical dishwasher,Josephine Cochrane,1886,American,,
graphophone cylinder sound recorder,Charles Sumner Tainter,1886,American,,
electrolytic aluminum smelting,Charles Martin Hall,1886,American,,
electrolytic aluminum smelting,Paul-Louis-Toussaint Héroult,1886,French,,
Gramophone disc sound recorder,Emil Berliner,1887,German American,,
pneumatic rubber tire,John Boyd Dunlop,1887,Scottish,,
Kodak camera,George Eastman,1888,American,,
cylindrical grain silo,Franklin Hiram King,1889,American,,
tabulating machine,Herman Hollerith,c. 1890,American,,
zeppelin airship,Ferdinand von Zeppelin,1890–1900,German,,
basketball,James A. Naismith,1891,Canadian American,,
adding machine,William Seward Burroughs,1892,American,,
vacuum flask,James Dewar,c. 1892,Scottish,,
diesel engine,Rudolf Diesel,1892,German,,
carburizing (surface hardening of steel plate),Hayward A. Harvey,c. 1892,American,,
Carborundum,Edward Goodrich Acheson,1893,American,,
Lilienthal standard glider,Otto Lilienthal,1894,German,,
Cinématographe motion-picture camera and projector,Lumière brothers,1894,French,,
disposable razor,King Camp Gillette,1895,American,,
wireless telegraph,Guglielmo Marconi,1896,Italian,,
gasoline-electric submarine,John Philip Holland,1898,Irish American,,
telegraphone magnetic wire recorder,Valdemar Poulsen,1900,Danish,,
amplitude modulation (AM) of radio waves,Reginald Aubrey Fessenden,1900,Canadian American,,
air-conditioning,Willis Haviland Carrier,1902,American,,
windshield wiper,Mary Anderson,1903,American,,
"powered, sustained, and controlled airplane flight",Wilbur and Orville Wright,1903,American,,
vacuum diode rectifier,John Ambrose Fleming,1904,English,,
Audion vacuum tube amplifier,Lee De Forest,1906,American,,
marine outboard motor,Ole Evinrude,1906–09,Norwegian American,,
coffee filters,Melitta Bentz,1908,German,,
Geiger counter,Hans Geiger,1908,German,,
Bakelite,Leo Hendrik Baekeland,c. 1909,Belgian American,,
arsphenamine anti-syphilis drug,Paul Ehrlich,1910,German,,
Lewis machine gun,Isaac Newton Lewis,1911,American,,
gyroscopic compass,Elmer Ambrose Sperry,1911,American,,
automobile electrical starter,Charles F. Kettering,1912,American,,
automobile assembly line,Henry Ford,1913–14,American,,
Colburn flat-glass machine,Irving Wightman Colburn,1916,American,,
X-ray tube,William D. Coolidge,1916,American,,
Browning automatic rifle,John Moses Browning,1918,American,,
Iconoscope and Kinescope electronic television camera and receiver,Vladimir Kosma Zworykin,1923–31,Russian American,,
electromechanical television,John Logie Baird,1924,Scottish,,
rapid-frozen food,Clarence Birdseye,c. 1924,American,,
liquid-fueled rocket engine,Robert Hutchings Goddard,1926,American,,
Image Dissector electronic television camera,Philo Taylor Farnsworth,1927,American,,
Van de Graaff generator for particle accelerators,Robert Jemison Van de Graaff,1929,American,,
ballpoint pen,László József Bíró,1931,Hungarian,,
high-definition electronic television system,Isaac Shoenberg,1931–35,Russian English,,
frequency modulation (FM) of radio waves,Edwin H. Armstrong,1933,American,,
electron microscope,Ernst Ruska,1933,German,,
Hammond organ (electronic keyboard),Laurens Hammond,1934,American,,
cyclotron particle accelerator,Ernest Orlando Lawrence,1934,American,,
nylon,Wallace Hume Carothers,1935,American,,
radar early warning,Robert Alexander Watson-Watt,1935,Scottish,,
jet engine,Frank Whittle,1937,English,,
nonreflective glass,Katharine Blodgett,1938,American,,
xerography,Chester F. Carlson,1938,American,,
LSD,Albert Hofmann,1938,Swiss,,
DDT,Paul Hermann Müller,1939,Swiss,,
jet aircraft,Hans Joachim Pabst von Ohain,1939,German,,
production helicopter,Igor Sikorsky,1939,Russian American,,
spread-spectrum technology,Hedy Lamarr,1942,American,,
spread-spectrum technology,George Antheil,1942,American,,
Aqua-Lung,Jacques-Yves Cousteau,1943,French,,
ENIAC general-purpose electronic computer,John W. Mauchly,1946,American,,
transistor,John Bardeen,1947,American,,
transistor,Walter H. Brattain,1947,American,,
transistor,William B. Shockley,1947,American,,
geodesic dome,R. Buckminster Fuller,c. 1947,American,,
Polaroid instant-print camera,Edwin Herbert Land,1947,American,,
carbon-14 dating,Willard Frank Libby,c. 1947,American,,
eight-track tape recorder,Les Paul,c. 1947,American,,
electric guitar,Leo Fender,1948,American,,
solar-heated home,Mária Telkes,1948,American,,
inertial guidance systems for aircraft,Charles Stark Draper,c. 1949,American,,
Manchester Mark I stored-program digital computer,Tom Kilburn,1949,English,,
compiler,Grace Hopper,1952,American,,
Apgar Score System,Virginia Apgar,1952,American,,
maser,Charles Hard Townes,1953,American,,
Uzi submachine gun,Uziel Gal,1954,Israeli,,
Wankel rotary gasoline engine,Felix Wankel,1954,German,,
integrated circuit,Jack Kilby,1958,American,,
integrated circuit,Robert Noyce,1958,American,,
ruby laser,Theodore H. Maiman,1960,American,,
coronary artery bypass,Michael DeBakey,1964,American,,
supercomputer,Seymour Cray,1964,American,,
computer mouse,Douglas Engelbart,1964,American,,
Kevlar,Stephanie Kwolek,1965,American,,
UNIX operating system,Kenneth L. Thompson,1969,American,,
UNIX operating system,Dennis M. Ritchie,1969,American,,
Kevlar,Stephanie Kwolek,c. 1971,American,,
magnetic resonance imaging (MRI),Paul Lauterbur,1973,American,,
magnetic resonance imaging (MRI),Peter Mansfield,1973,English,,
Transmission Control Protocol/Internet Protocol (TCP/IP),Vinton Cerf,1974,American,,
Transmission Control Protocol/Internet Protocol (TCP/IP),Robert Kahn,1974,American,,
Rubik's cube,Erno Rubik,1974,Hungarian,,
DNA sequencing,Frederick Sanger,1977,English,,
Apple II personal computer,Stephen Wozniak,1977,American,,
scanning tunneling microscope,Gerd Binnig,1981,German,,
scanning tunneling microscope,Heinrich Rohrer,1981,Swiss,,
Laserphaco Probe,Patricia Bath,1981,American,,
World Wide Web,Tim Berners-Lee,1990–91,English,,
Linux open-source operating system,Linus Torvalds,1991,Finnish,,
Paper currency,,(7th century),China,,
Navigational compass,,11th century,China,,
Firearms,,12th century,China,,
Glasses,,1280,Italy,,
Mechanical clock,,1335,Italy,,
Printing Press,,1440,Germany,,
Telephone,Alexander Graham Bell,1876,,,
Radio,Guglielmo Marconi,1895,,,
Television,Philo Farnsworth,1927,,,
Refrigerator,Jacob Perkins,1834,,,
Automobile,Karl Benz,1886,,,
Airplane,The Wright brothers (Orville and Wilbur Wright),1903,,,
Steam engine,James Watt,1765,,,
Penicillin,Alexander Fleming,1928,,,
Vaccines,Edward Jenner,1796,,,
MRI,Raymond Damadian,1977,,,
DNA,James Watson and Francis Crick,1953,,,
Genetic engineering,Paul Berg,1972,,,
Microscope,Zacharias Janssen and Hans Janssen,1590,,,
Telescope,Hans Lippershey,1608,,,
Mobile phones,Martin Cooper,1973,,,
Printing press,Johannes Gutenberg,1440,,,
Photography,Joseph Nicéphore Niépce,1826,,,
Film,George Eastman,1888,,,
Laser,Theodore H. Maiman,1960,,,
Transistor,"William Shockley, John Bardeen and Walter Brattain",1947,,,
GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",1978,,,
Atomic bomb,J. Robert Oppenheimer and team,1945,,,
Nuclear power,Enrico Fermi and team,1942,,,
Artificial heart,Robert Jarvik,1982,,,
Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",1956,,,
Virtual reality,Ivan Sutherland,1968,,,
Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others",Early 20th century,,,
Superconductivity,Heike Kamerlingh Onnes,1911,,,
Radar,Robert Watson,1935,,,
Microwave oven,Percy Spencer,1945,,,
Telephone,Alexander Graham Bell,1876,,,
Radio,Guglielmo Marconi,1895,,,
Television,Philo Farnsworth,1927,,,
Refrigerator,Jacob Perkins,1834,,,
Automobile,Karl Benz,1886,,,
The structure of DNA,James Watson and Francis Crick,1953,,,
Evolution by natural selection,Charles Darwin,1859,,,
The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius",1824-1865,,,
The theory of relativity,Albert Einstein,1905-1915,,,
The periodic table,Dmitri Mendeleev,1869,,,
Plate tectonics,Alfred Wegener,1912,,,
The Big Bang theory,Georges Lemaître,1927,,,
Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac",1900-1930s,,,
Higgs Boson,Peter Higgs and François Englert,2012,,,
Black holes,John Michell and Albert Einstein,"1783 and 1916, respectively",,,
Exoplanets,Aleksander Wolszczan and Dale Frail,1992,,,
Continental Drift,Alfred Wegener,1912,,,
The Electron,J.J. Thomson,1897,,,
Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",1896-1898,,,
The Neutron,James Chadwick,1932,,,
The Proton,Ernest Rutherford,1917,,,
Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,1965,,,
Gravitational Waves,LIGO Scientific Collaboration,2015,,,
Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",1985,,,
Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius","1824, 1861, and 1896, respectively",,,
Dark Matter,Fritz Zwicky,1933,,,
Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",1998,,,
First Supermassive Black Hole,Maarten Schmidt,1963,,,
First Black Hole Merger,LIGO Scientific Collaboration,2015,,,
First Gravitational Lens,J. H. Oort and F. Zwicky,1937,,,
Automatic Calculator,Wilhelm Schickard,1623,,,
Air Conditioner,Willis Carrier,1902,,,
Anemometer,Leon Battista Alberti,1450,,,
Animation,J. Stuart Blackton,—,,,
Atom Bomb,Julius Robert Oppenheimer,1945,,,
Aspirin,Dr. Felix Hoffman,1899,,,
Airplane,Wilber and Orville Wright,1903,,,
Adhesive tape,Richard G. Drew,1923,,,
Bifocal Lens,Benjamin Franklin,1779,,,
Barometer,Evangelista Torricelli,1643,,,
Barbed Wire,Joseph F. Glidden,1873,,,
Blood Group,Karl Lansdsteiner,1900s,,,
Ball Point Pen,John Loud,—,,,
Bicycle Tyres,John Boyd Dunlop,1888,,,
Pedal Driven Bicycle,Kirkpatrick Macmillan,1839,,,
Celluloid,Alexander Parkes,1861,,,
Chloroform,Sir James Young Simpson,—,,,
Cine Camera,Wm. Friese-Greene,1889,,,
Circulation of blood,William Harvey,1628,,,
Clock Mechanical,Hsing and Ling-Tsan,1725,,,
Diesel Engine,Rudolf Diesel,1892,,,
Centigrade Scale,Anders Celsius,1742,,,
Chlorine,Carl Wilhelm Scheele,1774,,,
Dynamite,Alfred B. Nobel,1867,,,
Diesel Engine,Rudolf Diesel,1895,,,
Electric stove/cooker,William S. Hadaway,1896,,,
Electroscope,William Gilbert,1600s,,,
Electric Fan,Schuyler Wheeler,1882,,,
Electric Battery,Volta,1800,,,
Elevator,Elisha G. Otis,1852,,,
Electric Motor (DC),Thomas Davenport,1873,,,
Electromagnet,William Sturgeon,1824,,,
Fountain Pen,Petrache Poenaru,1827,,,
Fluorine,André-Marie Ampère,1810,,,
Gramophone,Thomas Edison,1878,,,
Hydrogen,Henry Cavendish,1766,,,
Helicopter,Igor Sikorsky,1939,,,
Hovercraft,Christopher Cockerell,1959,,,
Hot Air Balloon,Josef & Etienne Montgolfier,1783,,,
Helium,Jules Janssen,1868,,,
Insulin,Sir Frederick Banting,1923,,,
Jet Engine,Hans Von Ohain,1936,,,
Lightning Conductor,Benjamin Franklin,1752,,,
Locomotive,George Stephenson,1804,,,
Laser,Theodore Maiman,1960,,,
Light Bulb,Thomas Edison,1854,,,
Motorcycle,Gottlieb Daimler,1885,,,
Microscope,Zacharis Janssen,1590,,,
Microphone,Alexander Graham Bell,1876,,,
Machine Gun,Richard Gatling,1861,,,
Neon Lamp,Georges Claude,1915,,,
Oxygen,Joseph Priestley,1774,,,
