Year,Country,Name of Invention,Name of Inventor,Category
1712,England,The Newcomen Engine,Thomas Newcomen,Mechanical Engineering
1730,England,The Marine Chronometer,John Harrison,Marine Technology
1735,Sweden,Systema Naturae,Carl Linnaeus,Biology
1745,Netherlands,The Leyden Jar,Pieter van Musschenbroek,Electricity
1763,England,Bayes’ Theorem,Thomas Bayes,Mathematics
1781,England,Discovery of Uranus,William Herschel,Astronomy
1796,England,The First Vaccination,Edward Jenner,Medicine
1799,Italy,The Battery,Alessandro Volta,Electricity
1804,England,Dalton’s Atomic Theory,John Dalton,Chemistry
1820,Denmark,Discovery of Electromagnetism,Hans Christian Ørsted,Physics
1830,USA; United Kingdom,The Electric Telegraph,Samuel Morse; Cooke & Wheatstone,Communications
1824,France,Carnot Cycle,Sadi Carnot,Thermodynamics
1830,United Kingdom,Principles of Geology,Charles Lyell,Geology
1834,Germany; USA,The Electric Motor,Moritz Jacobi; Thomas Davenport,Electrical Engineering
1848,United Kingdom,Absolute Zero,William Thomson (Lord Kelvin),Physics
1850,France; Germany; United Kingdom,Laws of Thermodynamics,Sadi Carnot; Rudolf Clausius; William Thomson,Thermodynamics
1859,England,On the Origin of Species,Charles Darwin,Biology
1860,France,Germ Theory of Disease,Louis Pasteur,Medicine
1860,United Kingdom,The Electromagnetic Spectrum,James Clerk Maxwell,Physics
1866,Czech, Laws of Inheritance,Gregor Mendel,Genetics
1869,Russia,Mendeleev’s Periodic Table of Elements,Dmitri Mendeleev,Chemistry
1876,Scotland,The Telephone,Alexander Graham Bell,Communications
1897,England,Electron,J.J. Thomson,Physics
1900,Germany; Denmark; Germany; Germany; Austria,Quantum Mechanics,Max Planck; Niels Bohr; Albert Einstein; Werner Heisenberg; Erwin Schrödinger,Physics
1903,USA,First Successful Airplane,Orville Wright; Wilbur Wright,Aviation
1905,Germany,Special Relativity,Albert Einstein,Physics
1911,New Zealand,Atomic Nucleus,Ernst Rutherford,Physics
1913,Denmark,Bohr Model of the Atom,Niels Bohr,Physics
1915,Germany,General Relativity,Albert Einstein,Physics
1927,Belgium,The Big Bang,Georges Lemaître,Cosmology
1932,Britain,Discovery of the Neutron,James Chadwick,Physics
1938,Germany; Austria,Nuclear Fission,Otto Hahn; Lise Meitner,Nuclear Physics
1947,USA,The Transistor,John Bardeen; Walter Brattain; William Shockley,Electronic Engineering
1953,United Kingdom; USA,The Structure of DNA,Francis Crick; James Watson,Biology
1960,USA; USA; Canada,Plate Tectonics,Harry Hess; Robert S. Dietz; J. Tuzo Wilson,Geology
1977,USA,Voyager Program,NASA,Aerospace
